# frame_start frame_end button
81340 81346 cross
81390 81396 cross
81450 81456 down
81490 81496 cross
81540 81546 cross
81600 81606 down
81640 81646 cross
81690 81696 cross
81750 81756 down
81790 81796 cross
81840 81846 cross
81900 81906 down
81940 81946 cross
81990 81996 cross
82050 82056 down
82090 82096 cross
82140 82146 cross
82200 82206 down
82240 82246 cross
82290 82296 cross
82350 82356 down
82390 82396 cross
82440 82446 cross
82500 82506 down
82540 82546 cross
82590 82596 cross
82650 82656 down
82690 82696 cross
82740 82746 cross
82800 82806 down
82840 82846 cross
82890 82896 cross
82950 82956 down
82990 82996 cross
83040 83046 cross
83100 83106 down
83140 83146 cross
83190 83196 cross
83250 83256 down
83290 83296 cross
83340 83346 cross
83400 83406 down
83440 83446 cross
83490 83496 cross
83550 83556 down
83590 83596 cross
83640 83646 cross
83700 83706 down
83740 83746 cross
83790 83796 cross
83850 83856 down
83890 83896 cross
83940 83946 cross
84000 84006 down
84040 84046 cross
84090 84096 cross
84150 84156 down
84190 84196 cross
84240 84246 cross
84300 84306 down
84340 84346 cross
84390 84396 cross
84450 84456 down
84490 84496 cross
84540 84546 cross
84600 84606 down
84640 84646 cross
84690 84696 cross
84750 84756 down
84790 84796 cross
84840 84846 cross
84900 84906 down
84940 84946 cross
84990 84996 cross
85050 85056 down
85090 85096 cross
85140 85146 cross
85200 85206 down
85240 85246 cross
85290 85296 cross
85350 85356 down
85390 85396 cross
85440 85446 cross
85500 85506 down
85540 85546 cross
85590 85596 cross
85650 85656 down
85690 85696 cross
85740 85746 cross
85800 85806 down
85840 85846 cross
85890 85896 cross
85950 85956 down
85990 85996 cross
86040 86046 cross
86100 86106 down
86140 86146 cross
86190 86196 cross
86250 86256 down
86290 86296 cross
86340 86346 cross
86400 86406 down
86440 86446 cross
86490 86496 cross
86550 86556 down
86590 86596 cross
86640 86646 cross
86700 86706 down
86740 86746 cross
86790 86796 cross
86850 86856 down
86890 86896 cross
86940 86946 cross
87000 87006 down
87040 87046 cross
87090 87096 cross
87150 87156 down
87190 87196 cross
87240 87246 cross
87300 87306 down
87340 87346 cross
87390 87396 cross
87450 87456 down
87490 87496 cross
87540 87546 cross
87600 87606 down
87640 87646 cross
87690 87696 cross
87750 87756 down
87790 87796 cross
87840 87846 cross
87900 87906 down
87940 87946 cross
87990 87996 cross
88050 88056 down
88090 88096 cross
88140 88146 cross
88200 88206 down
88240 88246 cross
88290 88296 cross
88350 88356 down
88390 88396 cross
88440 88446 cross
88500 88506 down
88540 88546 cross
88590 88596 cross
88650 88656 down
88690 88696 cross
88740 88746 cross
88800 88806 down
88840 88846 cross
88890 88896 cross
88950 88956 down
88990 88996 cross
89040 89046 cross
89100 89106 down
89140 89146 cross
89190 89196 cross
89250 89256 down
89290 89296 cross
89340 89346 cross
89400 89406 down
89440 89446 cross
89490 89496 cross
89550 89556 down
89590 89596 cross
89640 89646 cross
89700 89706 down
89740 89746 cross
89790 89796 cross
89850 89856 down
89890 89896 cross
89940 89946 cross
